_id,id,name,type,maintenance_responsibility,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
122,1006332761,McBride Park,Park,Parks - Eastern,,Lincoln Place,5,31,42003310200,3,31,4,4-20,40.37029953,-79.9055486
123,2049400443,McCandless Park,Park,Parks - Northeast,https://tools.wprdc.org/images/pittsburgh/parks/McCandless_Park.jpg,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48078051,-79.95259923
124,1318913796,McGonigle Park,Park,Parks - Western,,Sheraden,2,20,42003202200,5,20,6,1-16,40.4592981,-80.06619909
125,1352109784,McKinley Park,Park,Parks - Southern,,Beltzhoover,4,18,42003562400,5,18,3,4-7,40.41283786,-80.00128661
126,25384660,McKnight Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/McKnight_Park.jpg,Manchester,6,21,42003210700,1,21,1,1-8,40.45199414,-80.02298989
128,1565122603,Mellon Park,Park,Parks - Eastern,,Point Breeze,8,14,42003140400,3,14,4,2-17,40.4533552,-79.91686795
132,375307767,Monongahela Park,Park,Parks - Southern,,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.4216994,-79.96633324
133,964218237,Monongahela Wharf Landing Park,Park,Parks - Northern,,Central Business District,6,1,42003020100,6,1,2,1-4,40.43743912,-80.00422742
134,177052962,Moore Park,Park,Parks - Southern,,Brookline,4,19,42003191700,5,19,6,4-26,40.40514609,-80.01349922
135,1541827179,Morrow Triangle Park,Park,Parks - Northeast,https://tools.wprdc.org/images/pittsburgh/parks/Morrow_Triangle_Park.jpg,Bloomfield,7,8,42003080600,2,8,5,3-23,40.45656447,-79.93893686
136,2001007242,Mutual Park,Park,Parks - Western,,Sheraden,2,20,42003202200,5,20,6,1-16,40.45198505,-80.06416056
141,189207180,Nelson Mandela Peace Park,Park,Parks - Northeast,,Garfield,9,10,42003101700,2,10,5,3-4,40.46601648,-79.94065175
142,1185452095,Niagara Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Niagara_Park.jpg,South Oakland,3,4,42003040900,3,4,4,2-10,40.43471216,-79.96013725
143,309787733,Northshore Riverfront Park,Park,Parks - Northern,,North Shore,1,22,42003981200,6,22,1,1-7,40.44573292,-80.00964899
145,1744187794,Oakwood Park,Park,Parks - Western,https://tools.wprdc.org/images/pittsburgh/parks/Oakwood_Park.jpg,Oakwood,2,28,42003562800,5,28,6,1-19,40.42598177,-80.06614313
147,583639890,Ormsby Park,Park,Parks - Southern,,South Side Flats,3,16,42003160900,3,16,3,4-24,40.42926411,-79.97413862
148,1665069146,Osceola Park,Park,Parks - Northeast,https://tools.wprdc.org/images/pittsburgh/parks/Osceola_Park.jpg,Bloomfield,7,8,42003080400,2,8,5,3-1,40.45671252,-79.94244175
150,980255802,Paul J. Sciullo II Memorial Park,Park,Parks - Northeast,,Lower Lawrenceville,7,8,42003060300,2,8,2,3-1,40.46223612,-79.95453316
151,1572177418,Pauline Park,Park,Parks - Southern,,Beechview,4,19,42003192000,5,19,6,4-28,40.40457577,-80.02594638
152,1705952425,Paulson Park,Park,Parks - Northeast,,Lincoln-Lemington-Belmar,9,12,42003120300,2,12,5,3-15,40.46852417,-79.9001091
154,83761989,Phillips Park,Park,Parks - Southern,,Carrick,4,29,42003290400,3,29,3,4-23,40.39089748,-79.99147515
158,536526140,Riverview Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Riverview_Park.jpg,Perry North,1,26,42003980400,1,26,1,1-15,40.48291081,-80.01959641
159,341513644,Robert E. Williams Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Robert_E._Williams_Park.jpg,Upper Hill,6,5,42003050600,3,5,2,2-22,40.4547436,-79.95879776
160,867273457,Roland Lockridge Community Park,Park,Parks - Eastern,https://tools.wprdc.org/images/pittsburgh/parks/Roland_Lockridge_Community_Park.jpg,New Homestead,5,31,42003310300,3,31,4,4-20,40.39393226,-79.92073577
164,1881425039,Schenley Park,Park,Parks - Schenley,,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43554408,-79.94297832
165,433489227,Scherer Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Scherer_Park.jpg,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.46660498,-79.99962617
166,90818564,Shalane's Play Yard Park,Park,Parks - Schenley,,West Oakland,6,4,42003040200,3,4,4,2-10,40.44255365,-79.96488504
168,1064478922,Sheraden Park,Park,Parks - Western,https://tools.wprdc.org/images/pittsburgh/parks/Sheraden_Park.jpg,Sheraden,2,20,42003562500,5,20,6,1-16,40.45865116,-80.05978566
171,353743875,Southside Park,Park,Parks - Southern,,South Side Slopes,3,17,42003160800,3,17,3,4-22,40.42095095,-79.97741194
172,817955583,Southside Riverfront Park,Park,Parks - Southern,,South Side Flats,3,16,42003160900,3,16,3,4-24,40.43138621,-79.97246543
173,1768633106,Spring Garden Park,Park,Parks - Northern,,Spring Garden,1,24,42003241200,1,24,1,1-24,40.4656749,-79.98576888
174,1378523824,Spring Hill Park,Park,Parks - Northern,,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.47023127,-79.99238443
175,1917616764,Andrew Joseph Kukuruda Park,Park,Parks - Western,https://tools.wprdc.org/images/pittsburgh/parks/Andrew_Joseph_Kukuruda_Park.jpg,Crafton Heights,2,28,42003281500,5,28,6,1-18,40.43949317,-80.05610334
176,68102633,Sullivan Park,Park,Parks - Northeast,,Lower Lawrenceville,7,6,42003060300,2,6,2,3-6,40.46258823,-79.96325374
177,219157854,Swisshelm Park,Park,Parks - Eastern,,Swisshelm Park,5,14,42003141100,3,14,4,2-19,40.42103461,-79.90188285
180,11470988,Thomas Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Thomas_Park.jpg,Central Business District,6,1,42003020100,6,1,2,1-4,40.43649821,-79.998994
181,1643702639,Townsend Park,Park,Parks - Western,https://tools.wprdc.org/images/pittsburgh/parks/Townsend_Park.jpg,Elliott,2,20,42003562600,5,20,6,1-17,40.44306337,-80.04015048
182,1504989458,Tropical Park,Park,Parks - Southern,https://tools.wprdc.org/images/pittsburgh/parks/Tropical_Park.jpg,Beechview,4,19,42003191600,5,19,6,4-28,40.42226124,-80.02399069
183,1233709867,Troy Hill Citizen's Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Troy_Hill_Citizen's_Park.jpg,Troy Hill,1,24,42003240600,1,24,1,1-2,40.46322683,-79.98371492
184,1897479805,Tustin Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Tustin_Park.jpg,Bluff,6,1,42003010300,3,1,2,2-1,40.43669354,-79.97660331
185,1460991055,Tuxedo Street Skate Park,Park,Parks - Western,https://tools.wprdc.org/images/pittsburgh/parks/Tuxedo_Street_Skate_Park.jpg,Sheraden,2,20,42003202200,5,20,6,1-16,40.45336555,-80.06651605
186,1952724428,Vanucci Park,Park,Parks - Southern,,Beechview,4,19,42003191600,5,19,6,4-28,40.41481051,-80.01784295
187,718054164,Venson Park,Park,Parks - Southern,https://tools.wprdc.org/images/pittsburgh/parks/Venson_Park.jpg,Beltzhoover,3,18,42003562400,5,18,3,4-16,40.41637439,-80.00468196
189,1592511807,Vincennes Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/Vincennes_Park.jpg,Middle Hill,6,5,42003050100,3,5,2,2-5,40.4510397,-79.9673478
190,1820301075,Volunteers Park,Park,Parks - Southern,,Carrick,4,29,42003290100,3,29,3,4-23,40.39701666,-79.9934226
191,656759119,Wabash Park,Park,Parks - Western,,West End,2,20,42003562600,5,20,6,1-17,40.43897911,-80.03412032
192,619762270,Warrington Park,Park,Parks - Southern,,Beltzhoover,3,18,42003562400,5,18,3,4-5,40.42140834,-80.00139497
193,691951672,Washburn Square Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Washburn_Square_Park.jpg,Marshall-Shadeland,1,27,42003270400,1,27,1,1-14,40.46705639,-80.03115145
194,2137736333,Washington's Landing Park,Park,Parks - Northern,,Troy Hill,1,24,42003240600,6,24,1,1-1,40.46875489,-79.97382231
195,660130896,West End Park,Park,Parks - Western,,Elliott,2,20,42003562600,5,20,6,1-17,40.43671267,-80.03709173
197,1849203338,West End-Elliott Overlook Park,Park,Parks - Western,,Elliott,2,20,42003562600,5,20,6,1-17,40.44633237,-80.03370281
198,913738654,West Penn Park,Park,Parks - Schenley,https://tools.wprdc.org/images/pittsburgh/parks/West_Penn_Park.jpg,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45489769,-79.97156265
199,2031115592,Westinghouse Park,Park,Parks - Eastern,,Point Breeze North,9,14,42003140500,2,14,4,3-14,40.45300557,-79.90275792
201,497574815,Westwood School Park,Park,Parks - Western,,Westwood,2,28,42003563100,5,28,6,1-18,40.43059252,-80.05016512
202,420525223,Wightman Park,Park,Parks - Eastern,,Squirrel Hill North,8,14,42003140300,3,14,4,2-18,40.44333007,-79.92706601
204,821363109,Winters Park,Park,Parks - Southern,,South Side Slopes,3,17,42003170600,3,17,3,4-3,40.42266736,-79.98144463
205,1460363095,Woods Run Park,Park,Parks - Northern,https://tools.wprdc.org/images/pittsburgh/parks/Woods_Run_Park.jpg,Marshall-Shadeland,1,27,42003271500,1,27,1,1-14,40.47638344,-80.02925326
206,930068146,Young Field Park,Park,Parks - Northern,,Marshall-Shadeland,1,27,42003271500,1,27,1,1-14,40.47296315,-80.03276848
207,1127012019,Zulema Park,Park,Parks - Schenley,,Central Oakland,3,4,42003040500,3,4,4,2-14,40.43569298,-79.95704807
208,1719897212,Liberty Green Park,Park,Parks - Northeast,,East Liberty,9,11,42003111500,2,11,5,3-10,40.46277314,-79.91931377
