_id,id,type,image,maintenance_responsibility,name,dataspatial_wkb
1,2111959181,Park,https://tools.wprdc.org/images/pittsburgh/parks/Able_Long_Park.jpg,Parks - Southern,Able Long Park,\x00000000030000000100000027c05401d1633482bf4044344a2fcefaa4c05401d0fe8ab4fa4044344a2fcefaa4c05401d031055b8a4044344a4095f245c05401c7820a30db4044344ad794a6ecc05401c74751ce2940443443d46b26c0c05401c7325918a0404434410b630a91c05401c71d6063174044343e5b8561d4c05401c70867ad8e4044343bf727136ac05401c6ef3d3a1d4044343914f483cbc05401c6da44849440443436544fe36dc05401c6c54bcf0b40443433c60029f1c05401c69728a6114044342e5de15ca7c05401c9d16fc9bc4044342de8709742c05401cb10342aaa4044342e09fe8683c05401cb89d6adf74044342e2328f9f4c05401cc46950fc74044342e557de0d6c05401ccff21b3af4044342ea0fd3b2ac05401cd78c436fc4044342edbb59ddcc05401cdb37c99af4044342ef4e0114dc05401ce28ed5f144044342f37fbefd0c05401ce9e5e24794044342f837b4a23c05401d551d68c69404434352eb5f5f1c05401d573647bab40443438088509c0c05401d594f26aec4044343d1cc100e7c05401d5a9eb2075404434400fba8827c05401d5bab21816404434427c7c5261c05401d5cb790fb6404434456f75d9a1c05401d5f138bce04044344b5568e821c05401d556084a514044344b09e98dcec05401d4f5903a754044344adff822bcc05401d490e66cb14044344abe6a337bc05401d42c3c9eed4044344a9cdc4439c05401d3c792d1284044344a7b4e54f8c05401d362e903644044344a6223e187c05401d2fe3f35a04044344a515ce9e6c05401d29563a9f44044344a4095f245c05401d230b9dc2f4044344a38327675c05401d1cc100e6b4044344a2fcefaa4c05401d1633482bf4044344a2fcefaa4
2,1109513049,Park,https://tools.wprdc.org/images/pittsburgh/parks/Albert_Turk_Graham_Park.jpg,Parks - Schenley,Albert Turk Graham Park,\x0000000003000000010000000cc053fef50e3476294044385de9c0229ac053fefa11a975b04044385996744b2bc053fefbb517a4614044385e1c15097dc053fefc504816f04044385fc7e6b3ffc053fefce3150dae404438615a8deb10c053feff1d81f1064044386772d5e072c053fefb71fbc5df4044386a875d56f3c053fefa5093964a4044386b7aa25d8dc053fef80991793a404438656abde3fcc053fef77292c49340443863e07a28bbc053fef6cefed6344044386223e18698c053fef50e3476294044385de9c0229a
3,1544096765,Park,"",Parks - Northern,Alcoa Park,\x0000000003000000010000000ec0540007bfe7e1fc4044394f8b588e37c05400075f6fd2204044394e6e221c8ac0540006d50657324044394ea8da7f3dc0540005ff1d81f14044394afd545415c05400070b8cfbfc4044394a7f8012e0c054000828c36da840443948c2e770bdc0540015b9a5a89c4044394070329803c0540018a86d71f3404439401c4fc1dfc054001abd1aa8224044393f4a98aa86c054001b8aa001934044393f1843c3a4c054001c3265adda40443942d490e66dc05400070fbeb9e5404439507e9d94d1c0540007182235b54044394fe79ee02ac0540007bfe7e1fc4044394f8b588e37
4,1212681573,Park,"",Parks - Northern,Allegheny Commons,\x000000000300000001000001d3c05400a99b6f5caf404439d2d87f8876c054009d5a187a4a404439c74751ce29c05400a747d805e6404439c371da37efc05400a7a85015c2404439c38b04ab60c05400abd5dc4007404439cd8127b2ccc05400a91d9b1b7a404439ce8d972cd8c05400a62aa1943a404439cfaacd9e84c054009f2fdb8fde404439d25aab4741c054009efd86a8fc404439d2630ec311c054009ee88df373404439d2630ec311c054009ecf638002404439d2630ec311c054009ea1405708404439d249e44fa0c054009e774eebf6404439d22856605fc054009e55c0fcb5404439d1fe64f54dc054009e3864cb5c404439d1c3ac929bc054009e236c15d3404439d18090b418c054009e1b089a02404439d15f02c4d6c054009d8c6d612c404439cdfefbf402c054009ce075f6fd404439c9de050375c054009cb6848beb404439c8eabffcdbc054009cb252ce03404439c8c9320d99c054009cb252ce03404439c886162f16c054009cbab649d4404439c83a96d4c3c054009cbee807bc404439c81908e582c054009ccb7d4174404439c7f77af640c054009ce4a7b4e5404439c7bcc2938ec054009cf56eac86404439c7a398201dc054009d1b2e59b0404439c779a6b50bc054009d5a187a4a404439c74751ce29c05400baecd07853404439bbcf4e874dc05400bb7b6bb129404439bbbe878facc05400bc23315d70404439bbe0157eedc05400bc903ea705404439bc1acde1a0c05400bcdbbe0158404439bc87db2b34c05400bd0e12e83a404439bcec84f8f9c05400bd2b6f1993404439bd48cb4aedc05400bd4067cf1c404439bdbe3c1052c05400bd33d29564404439be4473cd57c05400bd1aa821f3404439bef49cf56fc05400bccf28c79f404439bf8b9baa15c05400bc7b45f17c404439c01a36e2ebc05400bb341e14be404439c2656abde4c05400ba1f4b1ee2404439c408d8ec96c05400b99d451fc5404439c4c9c90c4ec05400b940fecdd1404439c53f39d1b3c05400b7ed41b75a404439c6d1e108c4c05400b5c7cd898b404439c8b86b15f9c05400b456b441bc404439c9a34ca0c3c05400b252ce032e404439cad14a0a0fc05400b14a90470b404439cb6848beb6c05400b0e5e67946404439cb89d6adf7c05400afb3b75211404439cbff47735cc05400ab29e4d5d8404439c1eff9f87fc05400baecd07853404439bbcf4e874dc05400cb07d0aeda404439f090f733a9c05400c692f6e829404439ebbfd71b04c05400c27a63736d404439e75bc44bf5c05400be37de939f404439e2d6238da4c05400bbe878fabe404439df97aaac11c05400b951c5c572404439dc50ce4eadc05400b652370479404439d851654d62c05400b2074ea8da404439d113836a83c05400b178b37004404439cfdd228566c05400b27cbf6e3f404439cf91a32b13c05400b3d8e00086404439cf67b1c001c05400b5393250b5404439cf70153bd1c05400b691212514404439cfbb949625c05400b78cc9a77e404439d00f776c48c05400b7e4de3b8a404439d031055b8ac05400b93037d630404439d0e12e83a1c05400b9d7fd8277404439d1569f4906c05400baf533f423404439d24180d3d0c05400c34c1a8ac6404439d91ab8e8eac05400d50ebaade6404439e7afa72218c05400d6e8af8162404439e8f6cefed6c05400d7be9856a3404439e974a3400cc05400d976ff3ade404439ea57214f05c05400d9cf13ceea404439ea8112ba17c05400da597d49d8404439eaab042529c05400dc50ce4ead404439eb52c9d170c05400dedaec4a41404439ebbfd71b04c05400df9378ee28404439ebbfd71b04c05400e065300581404439ebc83a96d5c05400e0ce0b912e404439ebc83a96d5c05400e1693c03bc404439ebc83a96d5c05400e1d6494d51404439ebb7739f34c05400e29f9ce8d9404439eba6aca793c05400e44fa05144404439eb4a66559fc05400e453d20f2c404439eb4a66559fc05400e48626f60e404439eb4a66559fc05400e49b1fab97404439eb4a66559fc05400e4b44a1f08404439eb52c9d170c05400e4c942d491404439eb6390c910c05400e4de3b8a1a404439eb6bf444e1c05400e4f3343fa3404439eb851eb852c05400e503fb3743404439eb95e5aff3c05400e518f3eccc404439ebaf102364c05400e525892685404439ebc83a96d5c05400e536501e26404439ebe9c88616c05400e53eb399f6404439ec0b567558c05400e54b48d3ae404439ec2ce46499c05400e54f7a9197404439ec4e7253dac05400e57d9dba91404439ed4a1ad645c05400e679463cfb404439f349385836c05400eb52c9d17040443a10a569b175c05400ce9e5e2479404439f349385836c05400ce28ed5f14404439f2d3c792d1c05400cb07d0aeda404439f090f733a9c05400749f0e4da14044399f01b866e4c0540073d5bab21840443998aeb80ed0c054007314ca926040443993b3a68b1ac0540080e496edee4044398ea7ce0fc3c0540083f91e646f4044398f14db5958c05400861a60d4564044399018e75793c05400886df82b1f404439912556d19ec054008b71b8aa0040443993250b5244c054008ecd8dbced40443995d4e8fb01c05400913e81450f40443998b71b8aa0c054009795b35b0c404439b8ed1bf7adc0540098d045fe11404439bf6a0dbad4c054009991361dc9404439c36113404fc0540099c7bcc294404439c4b90214adc054009a77e5eaab404439c8b86b15f9c054009b6b2af145404439ce746cb967c054009c0a8d21bc404439d22856605fc054009c12f09d8c404439d273d5bab2c054009c12f09d8c404439d29563a9f4c054009c0ebedfa4404439d2b6f19935c054009c0a8d21bc404439d2e0e30447c054009bf9c62a1b404439d323fee2cac054009bed30f063404439d33d29563bc054009be09bb6aa404439d35eb7457cc054009bcfd4bf0a404439d377e1b8edc054009baa1511e0404439d3a1d323ffc054009b8023a6ce404439d3c3611340c054009b66f9335d404439d3cbc48f11c0540092ea52ef91404439d712a0ec74c0540090e23af31b404439d7d3910c2cc054009057d1782d404439d805e5f30ec054008622c450274044399884c6a3bec05400749f0e4da14044399f01b866e4c0540012a51e321a404439b5e0f7fcfcc054001c3efae792404439b23571d1d4c054001ce28ed5f1404439b5c7cd898bc054001eb4202d9d404439b506dd69d3c05400204af92296404439b456b441bcc05400229a5ebb77404439c19c17225bc0540020e1f7d73d404439c23315d702c05400223e186983404439ca7d6733ecc054002af9a8cdea404439fe21d96e9cc054001dde37585c40443a031ceaf252c054001dc0db270340443a03254e6e22c054001d8622c45040443a032db1e9f2c054001d68c692f740443a03254e6e22c054001d2e0e304440443a031ceaf252c054001d10b1feeb40443a030c23fab1c054001cf355cd9240443a0303c07ee1c054001cda2b5a2140443a02ea960b70c054001ca7d6733f40443a02c0a4a05ec054001c8eabffce40443a029f16b11cc054001c79b34a4540443a0285ec3dabc054001c53f39d1b40443a0242d05f29c054001c432ca57a40443a0218def417c054001c25d0742140443a01cd5f99c4c054001bfbdf090f40443a00d1b71759c0540019d2391d58404439f349385836c05400168b5cbff4404439deb52c9d17c05400111ada76d9404439b9e8c47a18c0540010f0e90bc8404439b8c32a8c9cc0540010be9424e6404439b784662baec0540010be9424e6404439b76b3bb83dc0540010be9424e6404439b7521144ccc0540010c2c5e2ce404439b70ef56649c0540010d7be9857404439b6cbd987c6c0540010ecb74de0404439b6aa4b9885c054001116a8b8f1404439b6805a2d73c05400112fd32c62404439b66f9335d2c0540012a51e321a404439b5e0f7fcfcc05400da98676a72404439b04ee7c4a0c05400daa0cae643404439b04ee7c4a0c05400dab191dde3404439b04ee7c4a0c05400dacabc5155404439b0574b4070c05400dadb8348f5404439b05faebc41c05400daec4a4096404439b07075b3e1c05400dafd113837404439b078d92fb2c05400db09a671ef404439b089a02752c05400db163baba8404439b09a671ef3c05400db2702a348404439b0bbf50e34c05400db3397dd01404439b0dd82fd76c05400db37c99ae9404439b0e5e67946c05400db3bfb58d1404439b0ff10ecb7c05400db65ecc3e3404439b1f255f352c05400db7ae5796c404439b280f12c28c05400dbf0563ed1404439b517a46174c05400dd7a99fa12404439bdf8f47304c05400e008e9b38d404439cca70d1fa3c05400e17e34b945404439d50225742ec05400e3b8a19c9d404439e45803cd14c05400e3de6149c7404439e56cd6c2f0c05400e3e29307af404439e58e64b231c05400e3e6c4c597404439e5d9e40c84c05400e3da2f8bdf404439e6256366d8c05400e3d1cc100e404439e646f15619c05400e3c968943e404439e6601bc98ac05400e3ac0c62e5404439e69ad42c3dc05400e38a7e73a3404439e6cd29131fc05400e37585be1b404439e6e6538690c05400e3608d0892404439e6f71a7e31c05400e33269df98404439e707e175d1c05400e321a2e7f7404439e71044f1a2c05400e1bd1ed9e0404439e74299d884c05400e147ae147b404439e75360d024c05400e0daa0cae6404439e75360d024c05400e06961c369404439e75360d024c05400e01de26916404439e75360d024c05400dfc9ff92f3404439e75360d024c05400df6db940ff404439e75360d024c05400df04ddb552404439e74afd5454c05400dd97f62b6b404439e71044f1a2c05400dc6e2a8006404439e6cd29131fc05400da9435ac8a404439e6362a5e78c05400d92b7fe08b404439e57d9dba91c05400d872f33ca3404439e52157689dc05400d7b2031ceb404439e49b1fab97c05400d666a98245404439e3b8a19c9dc05400d5e8d54110404439e353f7ced9c05400d031055b8a404439dea465a576c05400c18b502abb404439d29dc725c4c05400bb341e14be404439cd67fd3f5bc05400b994e1a3f4404439cbf6e3f78cc05400b97785729b404439cbc48f10aac05400b96af038e3404439cbab649d39c05400b955f7835a404439cb6848beb6c05400b94d940789404439cb252ce033c05400b94d940789404439cad9ad85e0c05400b94d940789404439cab81f969ec05400b966be7afa404439ca5375c8dac05400b9c304ccee404439c9e6687f45c05400bae46cfc83404439c87db2b346c05400bba12b5e53404439c78a6dacacc05400bc2b94d940404439c6c97d8cf4c05400bccf28c79f404439c5c5718eb9c05400bd44998d04404439c504816f00c05400bea0ba1f4b404439c2a0232096c05400bf93ff25e5404439c0ebedfa44c05400c05d52c16e404439bf61aa3f03c05400c0d2c386d3404439be8ff327aac05400c1333b96af404439bdf8f47304c05400c1e7967caf404439bd1676640ac05400c2b51bd61f404439bc33f85511c05400c3d68405b4404439bb05faebc4c05400c493426784404439ba55d1c3adc05400c4fc1df330404439b9f98b71b9c05400c61d8622c4404439b90ea9e6efc05400c6eb0b7c35404439b877ab3248c05400c7b890d5a6404439b7f1737543c05400c88a47ecff404439b76b3bb83dc05400c95bff0457404439b6fe2e6ea8c05400ca31e7d999404439b691212514c05400cb0c026cc2404439b634dad320c05400cd184c2720404439b573eab368c05400da836eb4ea404439b0574b4070c05400da98676a72404439b04ee7c4a0c0540083cf2cf95d40443a0ec7432010c05400840e1719f840443a0e410b630bc0540088e368f08440443a2b4959e625c05400894c447c3140443a2db61bb060c054008bdec5f39540443a3cc8de2ac3c054008be7296f6540443a3d145d8516c054008beb5b2d4d40443a3d35eb7458c054008be7296f6540443a3d816aceabc054008be2f7b17d40443a3da2f8bdecc054008bd230b9dc40443a3dee781840c054008bc9cd3e0c40443a3e10060781c054008bbd38045340443a3e3193f6c2c054008ba40d90e240443a3e6c4c5975c054008b9346994240443a3e8576cce6c054008b827fa1a140443a3e9ea14057c054008b588e368f40443a3ec892ab69c054008b4395810640443a3ed959a30ac054008b1572580c40443a3ef284167bc054006ec17ebaf140443a49129888f8c054006e653868fd40443a491afc04c9c054006e503fb37440443a491afc04c9c054006e221c8a7a40443a490a350d28c054006e08f2170940443a48f96e1587c054006ddf00abf740443a48d7e02646c054006dce39b45740443a48c7192ea5c054006dbd72bcb640443a48adeebb34c054006d97b30f8c40443a487b99d452c054006d7e889c1b40443a4840e1719fc054006d698fe69240443a4806290eedc054006d58c8eef240443a47c30d306ac0540066c6de764240443a1f4b1ee243c0540066ba493c8a40443a1ebc83a96dc0540066b6177ea240443a1e7967caeac0540066ba493c8a40443a1e2de87097c0540066c6de764240443a1d9f4d37c1c0540066e43aa79c40443a1d19157abcc05400670e2c12ae40443a1c9b413986c054006744b2b77840443a1c25d07421c0540067a95c853c40443a1b8ed1bf7bc0540067cf1c326640443a1b64e05469c054006822ff088940443a1b21c475e6c05400685122318340443a1b089a0275c0540068e3ef284140443a1acde19fc3c0540075536933a040443a15fcc1871ec054007d5ed06fef40443a12d77318fcc05400810a569b1740443a116ebd4cfdc05400816f0068dc40443a113c68661bc0540081d3aa36a040443a1101b00368c05400823422467c40443a10be9424e6c05400829068987040443a106ab14ec2c0540082e87d2c7c40443a100e6afccec0540083382e44b740443a0fa9c12f0ac054008387df5cf240443a0f3cb3e575c0540083cf2cf95d40443a0ec7432010c054002b3461309c40443a6045baf534c0540022f2734f8340443a2c9081c2e3c054001d96e9bbf140443a0ad8a11666c054001d8e86402140443a0aaeafab54c054001d8a54823840443a0a7c5ac472c054001d8a54823840443a0a2877ee4ec054001d8e86402140443a09f623076cc054001d92b7fe0940443a09cc319c5ac054001da7b0b39240443a09784ec637c054001db445ed4a40443a094e5d5b25c054001dc0db270340443a09246bf013c054001dd1a21ea340443a0902de00d2c054001df761cbcd40443a08b75ea67fc054001e0c5a815640443a089e34330dc054001e2584f4c740443a087ca643ccc054001e3a7daa5040443a08637bd05bc054001e53a81dc140443a0852b4d8bac054001e8a2ec28b40443a083126e979c054001ea78af3e440443a08205ff1d8c054001f10667f9140443a07f66e86c6c0540029888f861a40443a03ff69014bc0540029ae4f334440443a03f705857bc0540029d40ee06e40443a03ff69014bc0540029e90795f640443a0407cc7d1cc0540029f59ccfaf40443a04102ff8ecc054002a12f9010840443a0431bde82dc054002a1b5c7cd940443a043a2163fec054002a2c23747940443a045baf533fc054002a3486f04a40443a0474d9c6b0c054002a411c2a0240443a04a72ead92c054002a5614df8b40443a0535c9e668c054002de870974240443a1c3efae792c0540030a4e379b740443a2df9378ee3c054003486f049aa40443a2c669057d1c05400389f83be6640443a45dc832336c0540055c0fcb4f240443a3ac0c62e4dc0540056ffc115df40443a3a4b5568e8c0540057c914b16840443a3f572de43fc0540065668c261440443a39ffd60e95c054006672fba01f40443a3992c8c500c0540067903211cb40443a3925bb7b6cc05400679cc74b8440443a391d57ff9bc0540067b5f1bef540443a391d57ff9bc0540067c286f8ad40443a391d57ff9bc0540067d77fae3640443a3925bb7b6cc0540067e414e7ef40443a3925bb7b6cc0540067f0aa21a740443a392e1ef73cc054006805a2d73040443a393ee5eeddc05400680e06530040443a3947496aadc05400681669ced140443a394face67dc05400681ecd4aa140443a396073de1ec05400682b62845a40443a3968d759efc05400682f94424240443a39799e518fc05400683c297bfa40443a399b2c40d1c0540068405b39e240443a39abf33871c054006848beb5b340443a39cd8127b3c054006a7ef9db2340443a476f2a5a47c054006a8fc0d2c440443a47dc37a3dbc054006aa8eb463540443a4873365882c054006ab14ec20540443a48beb5b2d5c054006ab14ec20540443a4901d19158c054006ab14ec20540443a492bc2fc69c054006aa4b9884c40443a496ededaecc054006a9c560c7c40443a49906cca2ec054006a93f290ac40443a49b1fab96fc054006a7ac81d3b40443a49ecb31c22c054006a5d6bebe140443a4a276b7ed4c054006a4ca4f44140443a4a4095f245c054006a26e5471740443a4a6a875d57c054006a11ec918e40443a4a7b4e54f8c0540069fcf3dc0540443a4a8c154c98c0540069ced0b30b40443a4aa53fc009c05400694ccab3ee40443a4ad794a6ecc05400688377186540443a4b2314013fc054004e48626f6140443a5529fe004bc054004b05b7cfe640443a5668c26139c054002cfd8f0c7840443a61e92923e6c054002c881e471340443a61f9f01b86c054002c6ac215ba40443a61f9f01b86c054002c4d65e46040443a61f18c9fb6c054002c3009b30740443a61e0c5a815c054002c12ad81ae40443a61cffeb075c054002bf9830e3d40443a61bf37b8d4c054002be0589acc40443a61a60d4563c054002bae03b3ea40443a6173b85e81c054002b990afe6140443a615a8deb10c054002b884406c040443a6138fffbcec054002b6284599640443a60ed80a17bc054002b51bd61f640443a60c38f3669c054002b4959e62540443a60999dcb58c054002b3cc4ac6d40443a606fac6046c054002b3461309c40443a6045baf534c05400a99b6f5caf404439d2d87f8876c05400ad85dfa872404439d1569f4906c05400ae2541d8e8404439d2c7b890d6c05400b35b0bbf51404439dbdb5d8948c05400b69984a0e4404439e02ea960b7c05400ba3ca7503c404439e4a3832767c05400be51090710404439e974a3400cc05400c1df3300de404439ed6ba8c587c05400c7a398201d404439f2e48e8a72c05400c81908e582404439f340d4dc66c05400ec99f1ae2e40443a1908e581cfc05400ec7432010440443a199780baa6c05400ec204f2ae040443a1a1db877abc05400ebb7739f3440443a1a6937d1fec05400ea2d2fe3f340443a1b003686a5c0540095d91ab8e940443a3aafff36acc054008f2170931040443a3d35eb7458c054008f08461f9f40443a3d3e4ef028c054008eda22f6a540443a3d46b26bf8c054008eabffcdab40443a3d3e4ef028c054008e7ddca4b140443a3d2d87f887c054008e53eb399f40443a3d145d8516c054008e3ef2841640443a3d03968d76c054008e1932d6ed40443a3cd9a52264c054008df7a4e7ab40443a3ca7503b82c054008dda48b65240443a3c6c97d8cfc054008dc55000c940443a3c31df761dc054008db489092940443a3beec3979ac054008b3b32053640443a2d72ffd1ddc054008b32ce896540443a2d2780778ac054008b32ce896540443a2ce4649907c054008b3f63c31e40443a2c77574f72c054008b502ababf40443a2c343b70efc054008b5cbff47740443a2c12ad81aec054008b9778572a40443a2ba5a03819c054008bac710cb340443a2b8c75c4a8c054008be7296f6540443a2b51bd61f6c054008c154c985f40443a2b40f66a55c054008c8259e1f440443a2b1704ff43c054008ce703afb840443a2aed139431c054008e0c9d9d3440443a2a77a2cecdc054009bf9c62a1b40443a2517e77d52c05400907d912557404439dde37585bec0540090752da986404439dda8bd230cc0540090752da986404439dd8f92af9bc054009085f4a127404439dd095af295c05400908e581cf8404439dcf0307f24c054009096bb98c8404439dcdf698783c0540090abb44e51404439dcad14a0a1c0540090c4dec1c2404439dc8b86b160c0540090e23af31b404439dc69f8c21ec0540090eed02cd4404439dc5931ca7dc0540091105e1c15404439dc486ad2ddc0540091212513b6404439dc4007570cc05400949a5657fb404439dae81882aec054009baa1511e0404439d82fd75e20c05400a619da9c99404439d4306e5cd5c05400a99b6f5caf404439d2d87f8876
5,954863286,Park,"",Parks - Northern,Allegheny Landing Park,\x0000000003000000010000001ec054002be8bc169c40443943b70ef566c054002b0a6fc58b4044394373f316e3c054002aa19439de40443943b70ef566c05400212513b5bf4044394727dcbddcc054001f6cacd1854044393d7d3910c3c054002263d816ad4044393af74cd317c05400226c3b927d4044393af74cd317c0540022d0e560424044393aa369fcf4c054002396073de24044393a14cec41ec05400249e44fa05404439394317acc5c054002595bbbe8840443938476f2a5ac05400267c6b8b6940443937542a23c0c05400268d32830a40443937542a23c0c0540027d45a5fc840443936f7e3d1ccc0540028ed5f138c4044393764f11b61c054002ac753e7084044393682730c67c054002b3cc4ac6d404439358f2e05cdc054002ba5a0381940443934b51372a4c054002c12ad81ae4044393482be8bc1c054002cbea4ebdd40443934efcbd556c054003804534bd74044392e0e30446bc054003b60285ec44044392e05ccc89bc054003c1ce6c0944044392dfd694ccbc054003dfb0d51f84044393825e13b19c054003e35c5b4ab4044393aabcd78c4c05400351deefe504044393eccc46951c054003400b88ca440443941b75a74c1c0540035a858793e4044394cec41dd1ac054002e126202544044394ff0025bfbc054002be8bc169c40443943b70ef566
6,223959093,Park,"",Parks - Northern,Allegheny Riverfront Park,\x0000000003000000010000000fc05400550870110a404438cee5abc0e4c054005ab3aabcd8404438cd96206855c054005cf67b1c00404438cdea033e79c05400488c60cbf3404438d79d0a6762c054003543aeab7a404438e09fe86834c0540028522ea0fd404438e79aae6c8fc054001633482be9404438f2becedd48c05400043a2163fe404438fe47991bc5c053fff5a1016ce840443907f23cc8dec053fff498c3b0c44044390563ed0f62c05400008637bd06404438fdc1615ec0c054001aa821f299404438ed916872b0c054002af5771002404438e39b456b44c054003e81450efe404438d9513f8db5c05400550870110a404438cee5abc0e4
7,1596467340,Park,https://tools.wprdc.org/images/pittsburgh/parks/Alpine_Gardens_Park.jpg,Parks - Northern,Alpine Gardens Park,\x0000000003000000010000000ac05400d06fef7c2440443a94d50ebaaec05400d04e618ce340443a93faf42785c05400cf0f9d2bf540443a8c36da87a0c05400d03d9a954240443a8bc9cd3e0cc05400d18090b41840443a9385836220c05400d1958969a140443a945f9df549c05400d551d68c6940443a92f6e8294ac05400d651b0ccbc40443a9899bf5947c05400d15f02c4d640443a9a88ace24cc05400d06fef7c2440443a94d50ebaae
8,1829922263,Park,"",Parks - Southern,Alton Park,\x0000000003000000010000000cc054016798958d9b404434fd8f0c77dec05401718a86d71f404434fc7a398202c0540171bcdbbe01404434fe9b7bf1e9c0540171c970f7ba40443501754b05b8c0540171fff79c8440443504ff43419ec0540171f79420b44044350c4dec1c1dc05401722e1ac57e40443518dac258d6c0540172d1aeb3dd404435233df2a9d6c054015a682b628440443525247cb70bc054015a8155d5f5404435224aada33cc05401594f26aec0404434ff540895d1c054016798958d9b404434fd8f0c77de
9,2049886968,Traffic Island/Median,"",2nd Division,Amber Triangle,\x00000000030000000100000027c053fba3d70a3d7140443ac02f2f9874c053fba3ec02f2fa40443ac026cc1ca4c053fba3f8982cb240443ac026cc1ca4c053fba4052d666b40443ac02f2f9874c053fba411c2a02340443ac02f2f9874c053fba426bb55ac40443ac03ff69015c053fba433508f6540443ac03ff69015c053fba43bb40b3540443ac050bd87b5c053fba450acc0be40443ac061847f56c053fba454de7ea640443ac0724b76f7c053fba45d41fa7640443ac07aaef2c7c053fba4723aafff40443ac0ad03d9a9c053fba4766c6de740443ac0bdcad14ac053fba57646ae3a40443ac47a17f413c053fba62aa1943a40443ac7325918a0c053fba63b688bdb40443ac764adff82c053fba63f9a49c340443ac78e9f6a94c053fba647fdc59340443ac7b02d59d5c053fba65061416340443ac7eae5bc88c053fba65061416340443ac80c73abc9c053fba009f6230740443ac3c9eecbfbc053fba055757d5b40443ac2ce464990c053fba0620ab71340443ac2acb85a4fc053fba06e9ff0cc40443ac28b2a6b0ec053fba07b352a8440443ac271fff79dc053fba07f66e86c40443ac26138fffcc053fba087ca643d40443ac258d5842bc053fba098915bdd40443ac23fab10bac053fba0a0f4d7ae40443ac22ee4191ac053fba0ba1f4b1f40443ac20d5629d8c053fba0cf1800a840443ac1fc8f3238c053fba0dbad3a6040443ac1f42bb667c053fba0f9096bba40443ac1db0142f6c053fba116659d1340443ac1ca3a4b55c053fba1272c94b440443ac1c1d6cf85c053fba14488c60d40443ac1b10fd7e4c053fba3b57c4e2f40443ac037931444c053fba3ca7503b840443ac02f2f9874c053fba3d70a3d7140443ac02f2f9874
10,1047118140,Park,"",Parks - Schenley,Ammon Park,\x00000000030000000100000030c053fe9314445aa3404439a2b5a20ddcc053fe915379fa984044399dfdac68a9c053fe90257c914b4044399ef954eb14c053fe87df5cf24940443989c5e6ff7ec053fe84ec636b09404439816aceaaf3c053fe8548a9bcfd404439811f4f50a0c053fe8e820e6299404439791819d239c053fe8f75536934404439783dff3f10c053fe92428d434a40443975c0767d35c053fe8f68be2f7b4044396e04c05921c053fe8f1d3ed5284044396d117b5287c053fe9c90c4dec240443961b2a27f1bc053fe9ca18bd66240443961a1db877bc053fe9cbab649d44044396199780baac053fe9cc74b838c4044396199780baac053fe9cdc4439154044396199780baac053fe9ce8d972cd4044396199780baac053fe9cfdd2285640443961a1db877bc053fe9d0a67620f40443961a1db877bc053fe9d2391d58040443961b2a27f1bc053fe9d2bf5515040443961bb05faecc053fe9d3458cd2140443961cbccf28cc053fe9d451fc4c140443961dc93ea2dc053fe9d4d83409240443961ed5ae1cec053fe9d5a187a4a404439620ee8d10fc053fea311e85fd0404439719f7f8ca8c053fea3ad18d25f404439731098d478c053fea4052d666b40443973d9ec7000c053fea43bb40b354044397446f9b995c053fea48b65237040443974e65bea0cc053fea4b9884c6a404439752977c88ec053fea52263d81740443975e2046c76c053fea55d1c3ac9404439763e4abe6ac053fea5bd944aa540443976cce5f740c053fea63305100a4044397763e4abe7c053feb13dfb0d524044399b90ea9e6fc053feb15f88fc934044399c842fa509c053feb178b370044044399d909f1f15c053feb1704ff4344044399e9d0e9920c053feb1359791824044399f3c70c997c053feb0d0edc3bd404439a0168b5cc0c053feb074a771c9404439a06a6e32e4c053fea9cdc44391404439a51a005c46c053fe9de481f538404439a719b4dcecc053fe994e1a3f46404439abe27179c0c053fe96a26e5471404439acbc8c0ce9c053fe94f69ca9ef404439a871a3b14bc053fe9314445aa3404439a2b5a20ddc
